"Scientific_Name";"Duration";"Active_Growth_Period";"Foliage_Color";"pH_Min";"pH_Max";"Precip_Min";"Precip_Max";"Shade_Tolerance";"Temp_Min_F"
"Abelmoschus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abelmoschus esculentus";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Abies";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abies balsamea";"Perennial";"Spring and Summer";"Green";4;6;13;60;"Tolerant";-43
"Abies balsamea var. balsamea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Abutilon";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abutilon theophrasti";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Acacia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acacia constricta";"Perennial";"Spring and Summer";"Green";7;8,5;4;20;"Intolerant";-13
"Acacia constricta var. constricta";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Acalypha";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acalypha gracilens";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Acalypha rhomboidea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Acalypha virginica";"Annual";"Spring, Summer, Fall";"Green";5,9;7;13;60;"Intermediate";33
"Acarospora";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acer";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acer negundo";"Perennial";"Spring and Summer";"Green";5;7,8;15;75;"Tolerant";-46
"Acer negundo var. negundo";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Acer nigrum";"Perennial";"Spring and Summer";"Green";4,5;7,3;24;60;"Tolerant";-47
"Acer pensylvanicum";"Perennial";"Spring and Summer";"Green";4,4;6,5;24;76;"Tolerant";-47
"Acer platanoides";"Perennial";"Spring and Summer";"Green";4,8;7,2;32;50;"Intermediate";-28
"Acer pseudoplatanus";"Perennial";"Spring and Summer";"Yellow-Green";5,8;7;32;60;"Intolerant";-23
"Acer rubrum";"Perennial";"Spring and Summer";"Green";4,7;7,3;25;80;"Intermediate";-47
